reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
76;Vague 11 : 22-24 juin;10,8;7,1;16,3;8,5;5,2;13,6;59,5;52,1;66,4;;;
84;Vague 11 : 22-24 juin;14,0;10,3;18,8;10,5;7,3;14,9;63,3;57,2;69,0;;;
93;Vague 11 : 22-24 juin;16,3;11,3;22,9;12,7;8,3;18,9;69,9;62,2;76,7;;;
11;Vague 12 : 6-8 juillet;19,8;16,0;24,3;13,3;10,1;17,4;67,8;62,8;72,5;;;
24;Vague 12 : 6-8 juillet;19,7;12,3;30,1;8,4;4,2;16,1;64,3;53,6;73,7;;;
27;Vague 12 : 6-8 juillet;19,4;11,5;30,8;11,0;5,2;21,7;72,0;60,0;81,5;;;
28;Vague 12 : 6-8 juillet;16,3;10,4;24,6;8,8;4,7;15,7;78,5;69,5;85,5;;;
32;Vague 12 : 6-8 juillet;20,0;14,9;26,2;13,4;9,3;19,0;63,4;56,4;69,9;;;
44;Vague 12 : 6-8 juillet;20,4;14,6;27,7;9,9;6,2;15,5;67,2;59,5;74,0;;;
52;Vague 12 : 6-8 juillet;12,7;8,1;19,4;10,3;6,1;16,9;66,6;57,8;74,4;;;
53;Vague 12 : 6-8 juillet;12,5;7,5;20,2;4,7;1,9;10,8;57,8;48,5;66,5;;;
75;Vague 12 : 6-8 juillet;11,7;7,8;17,3;6,6;3,8;11,1;56,1;48,6;63,3;;;
76;Vague 12 : 6-8 juillet;16,9;11,9;23,5;10,2;6,4;15,7;64,9;57,5;71,7;;;
84;Vague 12 : 6-8 juillet;16,8;12,4;22,4;11,8;8,2;16,7;62,8;56,3;69,0;;;
93;Vague 12 : 6-8 juillet;14,2;9,5;20,8;11,3;7,0;17,9;67,3;59,3;74,4;;;
11;Vague 13 : 20-22 juillet;19,1;15,4;23,4;15,5;12,1;19,5;67,4;62,4;72,0;;;
24;Vague 13 : 20-22 juillet;11,7;6,4;20,5;11,7;6,3;20,7;68,9;58,0;78,1;;;
27;Vague 13 : 20-22 juillet;13,3;7,6;22,3;8,8;4,3;17,1;54,5;43,6;65,0;;;
28;Vague 13 : 20-22 juillet;22,9;15,4;32,5;10,8;6,0;18,8;57,7;47,6;67,2;;;
32;Vague 13 : 20-22 juillet;21,0;15,7;27,6;13,3;9,0;19,0;72,0;65,1;78,0;;;
44;Vague 13 : 20-22 juillet;17,6;12,7;24,0;11,4;7,5;17,1;64,7;57,1;71,7;;;
52;Vague 13 : 20-22 juillet;14,5;9,1;22,2;6,8;3,4;13,2;69,5;60,5;77,3;;;
53;Vague 13 : 20-22 juillet;20,1;13,5;28,8;12,5;7,6;19,9;58,7;49,2;67,6;;;
75;Vague 13 : 20-22 juillet;14,5;9,8;21,0;9,7;6,2;15,0;60,7;52,9;68,0;;;
76;Vague 13 : 20-22 juillet;17,1;11,9;23,9;9,9;6,1;15,8;67,1;59,4;73,9;;;
84;Vague 13 : 20-22 juillet;16,4;12,1;21,8;10,2;6,8;15,0;61,1;54,6;67,3;;;
93;Vague 13 : 20-22 juillet;18,4;13,1;25,3;12,6;8,2;18,8;59,2;51,7;66,4;;;
11;Vague 14 : 24-26 aot;14,9;11,5;19,3;11,2;8,3;15,1;64,7;59,5;69,6;;;
24;Vague 14 : 24-26 aot;14,6;8,6;23,8;13,4;7,4;23,0;57,5;46,5;67,8;;;
27;Vague 14 : 24-26 aot;12,0;6,7;20,5;10,9;5,9;19,2;59,2;49,0;68,7;;;
28;Vague 14 : 24-26 aot;14,7;8,9;23,3;7,3;3,7;14,1;70,5;60,6;78,9;;;
32;Vague 14 : 24-26 aot;26,9;20,8;34,0;17,1;12,3;23,2;70,2;63,2;76,4;;;
44;Vague 14 : 24-26 aot;23,9;18,1;30,9;15,6;11,1;21,6;68,5;61,0;75,1;;;
52;Vague 14 : 24-26 aot;23,9;17,0;32,5;15,1;9,8;22,6;73,0;64,3;80,2;;;
53;Vague 14 : 24-26 aot;13,8;8,2;22,4;13,8;8,4;21,8;64,8;55,7;73,4;;;
75;Vague 14 : 24-26 aot;16,8;11,9;23,1;8,9;5,5;13,9;62,6;55,7;69,6;;;
76;Vague 14 : 24-26 aot;17,4;12,3;24,2;11,4;7,4;17,1;58,2;50,5;65,5;;;
84;Vague 14 : 24-26 aot;14,7;10,3;30,4;9,4;6,2;13,9;66,1;59,5;72,2;;;
93;Vague 14 : 24-26 aot;14,9;10,2;21,2;8,7;5,3;13,8;57,3;49,6;64,6;;;
11;Vague 15 : 21-23 sept.;18,4;14,5;23,1;13,0;9,6;17,3;64,3;59,0;69,4;;;
24;Vague 15 : 21-23 sept.;18,2;11,5;27,7;10,5;5,6;18,6;69,3;58,5;78,3;;;
27;Vague 15 : 21-23 sept.;18,8;12,1;27,9;8,2;4,3;15,1;61,0;50,3;70,8;;;
28;Vague 15 : 21-23 sept.;18,1;11,6;27,1;15,6;9,3;25,0;63,0;53,0;71,9;;;
32;Vague 15 : 21-23 sept.;22,4;16,8;29,2;7,6;4,4;12,6;75,5;68,9;81,0;;;
44;Vague 15 : 21-23 sept.;15,0;10,3;21,4;10,8;6,9;16,3;66,3;58,7;73,2;;;
52;Vague 15 : 21-23 sept.;23,7;16,4;33,0;13,3;8,3;20,7;68,0;59,2;75,7;;;
53;Vague 15 : 21-23 sept.;16,9;11,0;25,3;10,5;6,2;17,4;67,4;58,2;75,5;;;
75;Vague 15 : 21-23 sept.;18,9;13,6;25,7;10,4;6,4;16,3;69,5;62,1;76,0;;;
76;Vague 15 : 21-23 sept.;22,5;16,8;29,3;13,7;9,3;19,7;64,0;56,9;70,6;;;
84;Vague 15 : 21-23 sept.;14,2;10,2;19,5;8,5;5,6;12,7;61,0;54,6;67,1;;;
93;Vague 15 : 21-23 sept.;11,0;6,8;17,4;8,8;5,2;14,5;62,7;54,7;70,1;;;
11;Vague 16 : 19-21 oct.;16,9;13,3;21,3;20,2;16,2;24,8;65,3;60,2;70,1;;;
24;Vague 16 : 19-21 oct.;13,2;7,4;22,6;12,3;6,6;21,8;63,2;52,3;72,9;;;
27;Vague 16 : 19-21 oct.;15,3;9,3;23,9;10,9;6,1;18,7;63,7;53,2;73,0;;;
28;Vague 16 : 19-21 oct.;23,3;16,2;32,3;16,7;10,6;25,3;64,9;55,4;73,4;;;
32;Vague 16 : 19-21 oct.;23,3;17,8;29,9;18,9;13,9;25,2;61,3;53,9;68,2;;;
44;Vague 16 : 19-21 oct.;20,9;15,4;27,6;14,0;9,6;20,1;62,0;54,4;69,1;;;
52;Vague 16 : 19-21 oct.;16,4;10,7;24,2;8,2;4,4;14,6;64,8;55,6;73,0;;;
53;Vague 16 : 19-21 oct.;21,5;14,8;30,2;17,1;11,2;25,2;57,1;47,5;66,3;;;
75;Vague 16 : 19-21 oct.;14,5;10,1;20,3;13,8;9,6;19,6;64,0;56,7;70,7;;;
76;Vague 16 : 19-21 oct.;22,0;16,5;28,7;18,5;13,4;24,9;66,2;59,7;72,7;;;
84;Vague 16 : 19-21 oct.;20,1;15,4;25,8;13,3;9,5;18,3;68,8;62,5;74,5;;;
93;Vague 16 : 19-21 oct.;20,6;14,7;28,1;12,3;7,9;18,8;66,2;58,0;73,5;;;
11;Vague 17 : 4-6 nov.;17,4;13,8;21,8;19,7;15,8;24,3;62,1;56,8;67,1;;;
