age;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
25-34 ans;Vague 16 : 19-21 oct.;26,3;21,6;31,5;20,2;16,1;25,1;70,6;65,2;75,4;30,6;25,7;36,0;;;;;;;2,50;2,35;2,65;46,1;40,6;51,7;74,9;69,8;79,5;;;
35-49 ans;Vague 16 : 19-21 oct.;24,7;21,1;28,6;18,8;15,7;22,5;66,3;62,1;70,2;42,3;38,1;46,6;;;;;;;2,79;2,67;2,90;54,6;50,2;58,8;80,3;76,6;83,5;;;
50-64 ans;Vague 16 : 19-21 oct.;15,4;12,5;18,8;14,1;11,3;17,4;65,5;61,1;69,7;40,8;36,6;45,2;;;;;;;2,75;2,63;2,87;54,4;49,9;58,8;78,0;74,0;81,5;;;
65 ans et plus;Vague 16 : 19-21 oct.;11,0;8,5;14,2;9,2;6,9;12,2;56,7;52,2;61,1;36,4;32,2;40,8;;;;;;;2,68;2,56;2,80;64,9;60,5;69,1;81,9;78,2;85,2;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
