,reg,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup,Libellé,vague,date
158,44,Vague 19 : 14-16 dec..,19.8,14.6,26.4,21.5,16.0,28.3,65.9,58.4,72.8,,,,Grand-Est,19, 14-16 dec..
159,44,Vague 20 : 18-20 janv.,19.3,14.1,26.0,25.0,19.1,32.1,69.6,62.3,76.0,,,,Grand-Est,20, 18-20 janv.
160,44,Vague 21 : 15-17 fév,25.4,19.3,32.8,27.8,21.3,35.4,62.6,54.7,69.9,9.9,6.2,15.4,Grand-Est,21, 15-17 fév
161,44,Vague 22 : 15-17 mars,24.6,18.8,31.5,21.7,16.3,28.3,67.4,60.1,73.9,4.8,2.4,9.3,Grand-Est,22, 15-17 mars
162,44,Vague 23 : 21-23 avril,24.3,18.4,31.3,26.7,20.7,33.7,68.4,61.1,74.9,8.9,5.6,13.9,Grand-Est,23, 21-23 avril
163,44,Vague 24 : 17-19 mai,17.8,12.8,24.3,18.7,13.4,25.4,64.2,56.6,71.2,5.9,3.3,10.6,Grand-Est,24, 17-19 mai
164,44,Vague 25 : 21-28 juin,17.5,12.0,23.5,14.4,10.1,20.3,66.6,59.5,73.1,8.6,5.4,13.6,Grand-Est,25, 21-28 juin
165,44,Vague 26 : 15-21 juillet,15.8,11.0,22.2,11.7,7.7,17.5,55.1,47.2,62.7,5.8,3.0,11.0,Grand-Est,26, 15-21 juillet
166,44,Vague 27 : 31 août-7 sept.,25.2,19.4,32.2,14.7,10.3,20.6,58.1,50.7,65.2,7.7,4.6,12.7,Grand-Est,27, 31 août-7 sept.
167,44,Vague 28 : 28 sept.-5 oct.,26.5,20.6,33.3,18.0,13.1,24.3,69.2,62.2,75.4,10.5,6.8,15.9,Grand-Est,28, 28 sept.-5 oct.
